Airport,Runway
304. Auckland (AKL),10800 (3293 m)
305. Medina (MED),10800 (3293 m)
306. Port Blair (IXZ),10795 (3291 m)
307. Christchurch (CHC),10785 (3288 m)
308. Islamabad (ISB),10785 (3288 m)
309. Amman (ADJ),10745 (3276 m)
310. Nadi (NAN),10739 (3274 m)
311. Canberra (CBR),10738 (3274 m)
312. Palma Mallorca (PMI),10728 (3271 m)
313. Milwaukee (MKE),10690 (3259 m)
314. Zagreb (ZAG),10669 (3253 m)
315. Sanaa (SAH),10669 (3253 m)
316. Kaunas (KUN),10663 (3251 m)
317. Izmir (ADB),10630 (3241 m)
318. Holguin (HOG),10623 (3239 m)
319. General Santos (GES),10567 (3222 m)
320. Gyoumri (LWN),10564 (3221 m)
321. Valencia (VLC),10548 (3216 m)
322. Billings (BIL),10518 (3207 m)
323. Perm (PEE),10518 (3207 m)
324. Cape Town (CPT),10512 (3205 m)
325. Baltimore (BWI),10502 (3202 m)
326. Dhaka (DAC),10500 (3201 m)
327. Philadelphia (PHL),10500 (3201 m)
328. Kandahar (KDH),10500 (3201 m)
329. Riga (RIX),10500 (3201 m)
330. Montevideo (MVD),10500 (3201 m)
331. Malaga (AGP),10500 (3201 m)
332. Chittagong (CGP),10500 (3201 m)
333. Bourgas (BOJ),10500 (3201 m)
334. Harbin (HRB),10500 (3201 m)
335. Port of Spain (POS),10500 (3201 m)
336. Visakhapatnam (VTZ),10500 (3201 m)
337. Sylhet (ZYL),10500 (3201 m)
338. Tunis (TUN),10499 (3201 m)
339. Tenerife (TFS),10499 (3201 m)
340. Nanning (NNG),10499 (3201 m)
341. Agadir (AGA),10499 (3201 m)
342. Male (MLE),10499 (3201 m)
343. St Denis (RUN),10499 (3201 m)
344. Baku (GYD),10499 (3201 m)
345. Hotan (HTN),10499 (3201 m)
346. San Salvador (SAL),10499 (3201 m)
347. Cayenne (CAY),10499 (3201 m)
348. Bissau (OXB),10499 (3201 m)
349. Busan (PUS),10499 (3201 m)
350. Santiago De Compostela (SCQ),10499 (3201 m)
351. Nizhnevartovsk (NJC),10499 (3201 m)
352. Changsha (CSX),10499 (3201 m)
353. Guiyang (KWE),10499 (3201 m)
354. Cordoba (COR),10498 (3201 m)
355. Maseru (MSU),10498 (3201 m)
356. Freetown (FNA),10498 (3201 m)
357. Katowice (KTW),10498 (3201 m)
358. Cairns (CNS),10486 (3197 m)
359. Bratislava (BTS),10466 (3191 m)
360. Khudzhand (LBD),10450 (3186 m)
361. Irkutsk (IKT),10384 (3166 m)
362. Kaohsiung (KHH),10335 (3151 m)
363. Djibouti (JIB),10335 (3151 m)
364. Wichita (ICT),10301 (3141 m)
365. Quito (UIO),10236 (3121 m)
366. Shannon (SNN),10233 (3120 m)
367. Gander (YQX),10200 (3110 m)
368. Melbourne (MLB),10181 (3104 m)
369. Billund (BLL),10172 (3101 m)
370. Adelaide (ADL),10171 (3101 m)
371. Antananarivo (TNR),10171 (3101 m)
372. Chiang Mai (CNX),10171 (3101 m)
373. Bordeaux (BOD),10171 (3101 m)
374. Brest (BES),10171 (3101 m)
375. Aden (ADE),10171 (3101 m)
376. Punta Cana (PUJ),10171 (3101 m)
377. Ulaanbaatar (ULN),10170 (3101 m)
378. Marrakech (RAK),10170 (3101 m)
379. Dushanbe (DYU),10170 (3101 m)
380. Samarkand (SKD),10170 (3101 m)
381. Duluth (DLH),10162 (3098 m)
382. Columbus (CMH),10125 (3087 m)
383. Sharm el Sheikh (SSH),10108 (3082 m)
384. Puerto Plata (POP),10108 (3082 m)
385. New Orleans (MSY),10104 (3080 m)
386. Boston (BOS),10081 (3073 m)
387. Tallinn (TLL),10070 (3070 m)
388. Verona (VRN),10064 (3068 m)
389. Oran (ORN),10039 (3061 m)
390. Georgetown (ASI),10019 (3055 m)
391. Tamuning (GUM),10015 (3053 m)
392. Qui Nhon (UIH),10010 (3052 m)
393. Manchester (MAN),10007 (3051 m)
394. Kathmandu (KTM),10007 (3051 m)
395. Tarija (TJA),10007 (3051 m)
396. Hat Yai (HDY),10007 (3051 m)
397. Nejran (EAM),10007 (3051 m)
398. Gurayat (URY),10007 (3051 m)
399. Hamilton (YHM),10006 (3051 m)
400. Masirah (MSH),10005 (3050 m)
401. Reykjavik (KEF),10005 (3050 m)
402. Saint Croix (STX),10004 (3050 m)
403. Rockford (RFD),10004 (3050 m)
404. Charlotte (CLT),10000 (3049 m)
405. Tulsa (TUL),10000 (3049 m)
406. Ottawa (YOW),10000 (3049 m)
407. Boise (BOI),10000 (3049 m)
408. Jacksonville (JAX),10000 (3049 m)
409. Pago Pago (PPG),10000 (3049 m)
410. Oakland (OAK),10000 (3049 m)
